Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,
Albania,2401.000,2454.000,2508.000,2563.000,2617.000,2671.000,2724.000,2780.000,2838.000,2897.000,2957.000,3016.000,3076.000,3138.000,3199.000,3256.000,3255.000,3363.000,3485.000,3035.000,3050.000,3076.000,3074.832,3055.331,3053.831,3060.908,3073.733,3093.465,3033.658,3014.578,3011.487,2992.547,2970.017,2947.314,2927.519,2913.021,2904.780,2900.489,2897.364,2894.125,2889.167,2886.026,,
Andorra,27.000,29.000,,30.000,31.000,35.000,38.000,40.000,42.000,43.000,45.000,46.000,48.000,50.000,51.000,53.000,57.000,60.000,63.000,65.000,64.000,64.000,65.592,65.592,65.924,65.908,66.089,66.094,69.840,74.885,78.607,80.104,82.392,83.884,85.116,70.290,69.772,69.758,69.929,70.155,70.901,72.358,,
Austria,7579.000,7566.000,7568.000,7562.000,7549.000,7549.000,7559.000,7571.000,7548.000,7552.000,7555.000,7565.000,7573.000,7615.000,7659.000,7729.000,7813.000,7914.000,7991.000,7936.000,7948.000,7959.000,7968.041,7976.789,7992.323,8011.566,8042.293,8082.121,8118.245,8169.441,8225.278,8267.948,8295.189,8321.541,8341.483,8361.069,8388.534,8426.311,8477.230,8543.975,8629.496,8690.076,,
Belgium,9795.000,9811.000,9822.000,9830.000,9837.000,9847.000,9852.000,9856.000,9856.000,9855.000,9858.000,9862.000,9870.000,9902.000,9938.000,9967.000,9979.000,10045.000,10084.000,10116.000,10137.000,10157.000,10181.245,10203.008,10226.419,10251.250,10286.570,10332.785,10372.469,10417.122,10472.842,10541.893,10622.604,10709.973,10796.493,10895.638,11043.788,11128.246,11182.817,11231.213,11284.776,11311.117,,
Bulgaria,8721.000,8759.000,8804.000,8814.000,8826.000,8862.000,8891.000,8917.000,8940.000,8961.000,8960.000,8958.000,8971.000,8981.000,8989.000,8991.000,8982.000,8540.000,8472.000,8444.000,8406.000,8363.000,8312.068,8256.786,8210.624,8170.172,7913.301,7868.900,7823.557,7781.161,7739.900,7699.020,7659.764,7623.395,7585.131,7534.289,7348.328,7305.888,7263.859,7223.937,7177.991,7153.784,,
Channel Islands,128.000,128.000,129.000,129.000,130.000,129.000,130.000,130.000,131.000,132.000,133.000,136.000,136.000,140.000,142.000,,143.000,143.000,142.000,142.000,143,143,143,143,144,144,148,150,150,150,151,153,155,157,158,160,161,162,162,163,165,167,,
Czechoslovakia,14820.000,14918.000,15030.000,15137.000,15237.000,15311.000,15320.000,15369.000,15414.000,15458.000,15499.000,15534.000,15572.000,15607.000,15638.000,15661.000,15583.000,15731.000,15656.000,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,5060.000,5073.000,5088.000,5104.000,5117.000,5123.000,5122.000,5118.000,5114.000,5112.000,5114.000,5121.000,5127.000,5130.000,5133.000,5140.000,5154.000,5170.000,5189.000,5205.000,5228.000,5262.000,5284.220,5301.304,5327.358,5337.344,5358.783,5374.255,5387.174,5401.177,5415.978,5434.567,5457.415,5489.022,5519.441,5545.039,5566.856,5587.085,5608.784,5639.719,5678.348,5724.456,,
Faroe Islands,41.000,41.000,42.000,42.000,43.000,43.000,44.000,44.000,45.000,45.000,46.000,46.000,47.000,47.000,47.000,47.000,47.000,,,,44.000,44.000,43.993,44.504,45.063,45.749,46.553,47.315,47.923,48.258,48.258,48.340,48.384,48.555,48.798,48.669,48.563,48.319,48.286,48.462,48.958,49.503,,
Finland,4711.000,4726.000,4739.000,4753.000,4765.000,4780.000,4800.000,4827.000,4856.000,4882.000,4902.000,4918.000,4932.000,4946.000,4964.000,4986.000,5014.000,5042.000,5066.000,5088.000,5108.000,5125.000,5139.835,5153.498,5165.474,5176.209,5188.008,5200.598,5213.014,5228.172,5219.448,5239.423,5261.682,5286.095,5311.276,5335.481,5360.091,5385.543,5410.389,5432.721,5450.581,5507.000,,
France,52705.000,52909.000,53145.000,53376.000,53606.000,53880.000,54182.000,54480.000,54728.000,54947.000,55284.000,55546.000,55824.000,56118.000,56423.000,56735.000,57055.000,57240.000,57467.000,57659.000,57844.000,58026.000,58207.490,58397.788,58677.406,59062.385,59476.236,59893.870,60303.631,60734.343,61181.499,61597.486,61965.052,62300.288,62615.472,62917.790,63223.158,63536.918,63862.825,64027.784,64474.274,64732.099,,
West Germany,61832.000,61513.000,61396.000,61310.000,61337.000,61538.000,61663.000,61596.000,61383.000,61126.000,60975.000,61010.000,61097.000,61420.000,62063.000,63253.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,16850.000,16786.000,16765.000,16756.000,16745.000,16737.000,16736.000,16697.000,16699.000,16671.000,16644.000,16624.000,16641.000,16666.000,16630.000,16247.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,30.000,30.000,30.000,29.000,30.000,30.000,30.000,29.000,29.000,29.000,29.000,29.000,29.000,30.000,31.000,31.000,28.000,29.000,28.000,28.000,27.000,27.000,27.139,27.025,27.204,27.033,,28.520,28.605,28.759,29.313,29.672,30.066,30.496,30.963,31.465,32.003,32.577,32.734,33.140,33.573,33.573,,
Greece,9047.000,9167.000,9268.000,9360.000,9449.000,9643.000,9729.000,9790.000,9847.000,9896.000,9934.000,9967.000,10001.000,10037.000,10090.000,10161.000,10247.000,10322.000,10379.000,10426.000,10634.000,10709.000,10776.531,10834.910,10882.607,10917.457,10949.953,10987.559,11023.532,11055.729,11092.913,11020.393,11048.499,11077.863,11107.024,11121.383,11104.995,11045.040,10965.241,10892.369,10820.964,10783.748,,
Holy See,1.000,1.000,1.000,1.000,,,,,,,1.000,1.000,1.000,1.000,,,,,,,,,,0.786,,,,,,,,,,,,0.460,,0.451,,,,,,
Hungary,10532.000,10589.000,10637.000,10673.000,10698.000,10711.000,10712.000,10683.000,10656.000,10619.000,10579.000,10534.000,10486.000,10443.000,10398.000,10365.000,10346.000,10324.000,10294.000,10261.000,10229.000,10193.000,10154.900,10113.574,10067.507,10024.222,10187.576,10158.608,10129.552,10107.146,10087.065,10071.370,10055.780,10038.188,10022.650,10000.023,9971.727,9920.362,9893.082,9866.468,9843.028,9830.485,,
Iceland,218.000,220.000,222.000,224.000,226.000,228.000,231.000,234.000,237.000,239.000,241.000,243.000,246.000,250.000,253.000,255.000,258.000,261.000,264.000,266.000,267.000,269.000,270.915,273.794,277.184,281.154,285.054,287.559,289.272,292.587,295.864,304.334,311.396,319.355,319.246,318.006,319.014,320.716,323.764,327.386,330.815,332.529,,
Ireland,3176.000,3228.000,3272.000,3314.000,3368.000,3401.000,3440.000,3480.000,3504.000,3529.000,3540.000,3541.000,3543.000,3538.000,3515.000,3503.000,3526.000,3554.000,3574.000,3586.000,3601.000,3626.000,3664.313,3703.082,3741.647,3789.536,3847.198,3931.947,3996.521,4070.262,4159.914,4260.341,4356.931,4425.683,4458.942,4560.155,4576.794,4586.897,4598.294,4605.501,4635.390,4724.720,,
Isle of Man,60.000,62.000,62.000,63.000,63.000,63.000,64.000,64.000,64.000,64.000,63.000,64.000,64.000,67.000,68.000,,70.000,70.000,71.000,71.000,72.000,72.000,72.452,73.274,74.060,74.911,,77.156,77.464,77.581,78.800,,80.885,81.722,82.371,82.691,,85.047,85.682,86.322,86.963,85.619,,
Italy,55441.000,55701.000,55955.000,56155.000,56318.000,56434.000,56508.000,56639.000,56836.000,57005.000,57141.000,57246.000,57345.000,57441.000,57541.000,57661.000,56751.000,56859.000,57049.000,57204.000,56844.000,56860.000,56890.372,56906.744,56916.317,56942.108,56977.217,57157.406,57604.658,57685.327,57969.484,58143.979,58438.310,58826.731,59095.365,59277.417,59379.449,59539.717,60233.948,60789.140,60795.612,60665.551,,
Lichtenstein,24.000,24.000,24.000,25.000,26.000,26.000,26.000,26.000,26.000,27.000,27.000,27.000,28.000,28.000,28.000,,,30.000,30.000,30.000,31.000,31.000,31.232,32.015,32.426,32.673,33.104,33.678,34.022,34.477,34.734,35.010,35.322,35.446,35.789,36.010,36.281,36.636,36.942,37.215,37.468,37.622,,
Luxembourg,358.000,361.000,361.000,362.000,363.000,364.000,365.000,366.000,366.000,366.000,367.000,368.000,371.000,374.000,378.000,382.000,387.000,390.000,397.000,403.000,409.000,414.000,419.450,424.700,430.475,436.300,441.525,446.175,451.631,458.095,465.158,472.637,479.993,488.650,497.782,506.953,518.347,530.946,543.360,556.319,569.604,576.249,,
Malta,328.000,329.000,332.000,313.000,316.000,319.000,322.000,325.000,328.000,337.000,340.000,342.000,344.000,347.000,351.000,354.000,358.000,·369,373.000,369.000,377.000,374.000,376.513,378.518,380.201,382.525,385.077,386.938,398.582,401.306,403.879,405.355,406.778,409.429,412.530,414.562,416.318,419.507,423.431,427.421,431.936,434.403,,
Monaco,25.000,25.000,25.000,25.000,25.000,,,,,,,,,,,,,,,,,,31.986,,33.268,,,,,,,,,,35.499,35.764,36.126,36.050,36.950,36.900,37.600,38.200,,
Netherlands,13653.000,13770.000,13853.000,13937.000,14030.000,14144.000,14246.000,14310.000,14362.000,14420.000,14484.000,14564.000,14665.000,14758.000,14849.000,14952.000,15070.000,15184.000,15290.000,15383.000,15459.000,15530.000,15610.650,15707.209,15812.088,15925.513,16046.180,16148.929,16225.302,16281.779,16319.868,16346.101,16381.696,16445.593,16530.388,16615.394,16693.074,16754.962,16804.432,16865.007,16939.923,16979.120,,
Norway,4007.000,4026.000,4043.000,4059.000,4073.000,4086.000,4100.000,4115.000,4128.000,4140.000,4153.000,4167.000,4187.000,4209.000,4227.000,4241.000,4262.000,4286.000,4312.000,4325.000,4359.000,4381.000,4405.157,4431.464,4461.913,4490.967,4513.751,4538.159,4564.855,4591.910,4623.291,4660.677,4709.153,4768.212,4828.726,4889.252,4953.088,5018.573,5079.623,5137.232,5188.607,5236.826,,
Poland,34022.000,34362.000,34698.000,35010.000,35257.000,35578.000,35902.000,36227.000,36571.000,36914.000,37203.000,37456.000,37664.000,37862.000,37963.000,38119.000,38245.000,38365.000,38459.000,38544.000,38588.000,38289.000,38292.000,38283.000,38270.000,38255.945,38250.790,38232.301,38195.177,38180.249,38161.313,38132.177,38115.967,38115.909,38153.389,38042.403,38051.032,38059.134,38031.632,38006.154,37981.588,37967.209,,
Portugal,9426.000,9666.000,9455.000,9558.000,9661.000,9766.000,9855.000,9864.000,10009.000,10089.000,10011.000,10011.000,9994.000,9968.000,9937.000,9899.000,9871.000,9867.000,9881.000,10004.000,10030.000,10058.000,10091.120,10129.290,10171.949,10225.836,10292.999,10368.403,10441.075,10483.861,10503.330,10522.288,10542.964,10558.177,10568.247,10573.100,10557.560,10514.844,10457.295,10401.062,10358.076,10341.330,,
Romania,21245.000,21446.000,21658.000,21855.000,22048.000,22201.000,22353.000,22478.000,22553.000,22625.000,22725.000,22823.000,22940.000,23054.000,23152.000,23207.000,23185.000,22789.000,22755.000,22731.000,22681.000,22608.000,22545.925,22502.803,22458.022,22435.205,22408.393,21794.793,21733.556,21673.328,21319.673,21193.749,20882.980,20537.848,20367.437,20246.798,20147.657,20060.182,19988.694,19913.193,19819.697,19760.314,,
San Marino,20.000,20.000,20.000,21.000,21.000,21.000,22.000,22.000,22.000,22.000,22.000,23.000,23.000,23.000,23.000,23.000,23.000,24.000,24.000,25.000,25.000,25.000,25.823,27.685,28.106,26.941,27.634,28.486,28.992,29.457,29.836,30.184,31.211,31.662,33.066,33.270,33.389,33.518,33.469,33.648,33.738,34.006,,
Spain,35596.000,35971.000,36351.000,36775.000,37183.000,37542.000,37751.000,37970.000,38162.000,38328.000,38474.000,38604.000,38716.000,38809.000,38792.000,38851.000,38920.000,39011.000,39096.000,39263.000,39388.000,39479.000,39583.381,39722.075,39927.224,40264.162,40721.447,41314.019,42004.575,42859.173,43662.617,44360.525,45236.002,45983.167,46367.545,46562.486,46736.255,46766.399,46593.236,46480.882,46447.697,46445.828,,
Sweden,8193.000,8222.000,8252.000,8276.000,8294.000,8310.000,8320.000,8325.000,8329.000,8337.000,8350.000,8370.000,8398.000,8437.000,8493.000,8559.000,8617.000,8668.000,8719.000,8781.000,8827.000,8841.000,8846.062,8850.974,8857.874,8872.110,8895.960,8924.958,8958.229,8993.531,9029.572,9080.505,9148.092,9219.637,9298.515,9378.126,9449.213,9519.375,9600.379,9696.110,9799.186,9851.017,,
Switzerland,6405.000,6346.000,6327.000,6333.000,6351.000,6319.000,6354.000,6391.000,6419.000,6442.000,6470.000,6504.000,6545.000,6593.000,6647.000,6712.000,6800.000,6875.000,6938.000,6994.000,7041.000,7081.000,7088.906,7110.002,7143.991,7184.250,7226.647,7284.754,7339.002,7389.626,7437.116,7483.935,7551.117,7647.675,7743.832,7824.909,7912.398,7996.861,8089.346,8188.649,8282.396,8327.126,,
United Kingdom,56215.000,56206.000,56209.000,56178.000,56242.000,56330.000,56352.000,56306.000,56347.000,56506.000,56685.000,56852.000,57009.000,57158.000,57358.000,57561.000,57808.000,58013.000,58198.000,57862.000,58025.000,58164.000,58314.249,58474.943,58684.427,58886.065,59113.497,59318.779,59552.182,59950.364,60413.276,60827.067,61319.075,61823.772,62260.486,62759.456,63285.145,63705.030,64102.166,64591.713,65128.861,65382.556,,
Yugoslavia,21365.000,21573.000,21775.000,21974.000,22166.000,22304.000,22471.000,22642.000,22805.000,22966.000,23124.000,23274.000,23417.000,23566.000,23695.000,23818.000,23931.000,23379.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,254469.000,256760.000,259029.000,261253.000,263425.000,265542.000,267622.000,269901.000,272368.000,274874.000,277334.000,280016.000,282830.000,285419.000,286731.000,288595.000,290127.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,16451.000,16518.000,16381.000,16146.000,15816.000,15578.000,15334.405,15072.983,14928.373,14883.626,14858.335,14858.948,14909.018,15012.985,15147.029,15308.084,15484.192,15674.000,16092.701,16321.581,16556.601,16791.427,17035.275,17160.774,17160.774,17160.774,,
Kyrgyzstan,,,,,,,,,,,,,,,,,4457.000,4534.000,4543.000,4540.000,4590.000,4657.000,4724.900,4797.000,4854.060,4883.706,4902.123,4919.460,4943.770,4976.881,5006.514,5033.953,5268.385,5318.729,5383.277,5447.960,5514.754,5607.511,5719.852,5835.816,5957.271,6079.840,,
Tajikistan,,,,,,,,,,,,,,,,,5464.000,5571.000,5638.000,5745.000,5836.000,5919.000,,5938.609,6064.048,6188.366,6312.756,6441.009,6573.224,6710.161,6850.324,6992.066,7139.772,7294.747,7334.083,7519.280,7714.198,7897.313,8074.266,8256.572,8451.600,8640.700,,
Turkmenistan,,,,,,,,,,,,,,,,,3753.000,4032.000,4308.000,4406.000,4509.000,4569.000,,4859.000,,4891.598,4973.962,5051.817,5123.940,,,,,,,,,,,,,5662.544,,
Uzbekistan,,,,,,,,,,,,,,,,,20862.000,21360.000,21852.000,22282.000,22690.000,23130.000,23560.400,24051.000,23953.922,24650.415,24964.433,25271.831,25567.663,25707.400,26021.300,26488.257,26867.998,27302.782,27767.408,28562.405,29339.368,29774.448,30243.172,30757.669,31298.929,31298.929,,
Armenia,,,,,,,,,,,,,,,,,3612.000,3686.000,3731.000,3308.000,3255.000,3247.000,3242.100,3235.151,3229.499,3221.106,3214.095,3211.593,3211.267,3214.030,3217.535,3221.094,3226.520,3234.031,3243.729,3256.066,3027.900,3024.100,3022.000,3013.800,3004.588,2992.500,,
Azerbaijan,,,,,,,,,,,,,,,,,7271.000,7382.000,7495.000,7597.000,7685.000,7763.000,7838.300,7913.000,7982.800,8048.600,8152.800,8230.300,8309.200,8398.300,8500.300,8609.600,8723.000,8838.500,8947.300,9054.300,9173.100,9295.784,9416.800,9528.900,9649.341,9755.500,,
Georgia,,,,,,,,,,,,,,,,,5464.000,5455.000,5440.000,4862.000,4734.000,4617.000,4531.700,4487.400,4452.500,4418.300,4385.800,4357.100,4328.900,4318.300,4361.400,4398.000,4388.400,4383.800,4410.900,4452.800,4483.400,4490.700,4487.150,3727.000,3717.100,3719.300,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7411.569,7381.579,7350.222,7320.807,7291.436,7236.519,7201.497,7166.552,7131.787,7095.383,7058.322,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.241,626.104,628.804,631.536,617.304,620.556,620.601,622.149,621.810,622.159,622.218,,
Belarus,,,,,,,,,,,,,,,,,10271.000,10313.000,10356.000,10308.000,10281.000,10250.000,10117.433,10071.963,10035.210,10004.958,9970.688,9924.766,9873.826,9824.568,9663.915,9604.924,9560.953,9527.985,9506.765,9490.583,9473.172,9464.495,9465.997,9474.511,9489.616,9498.364,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,4409,4434.000,4459.000,4180.000,3645.000,3737.865,3653.364,3724.672,3781.497,3797.937,3828.397,3832.301,3842.527,3842.537,3842.762,3842.562,3842.265,3842.566,3843.126,3841.224,3837.455,3833.278,3830.911,3825.334,3512.855,,
Croatia,,,,,,,,,,,,,,,,,,4470,4641.000,4649.000,4669.000,4494.000,4572.474,4501.149,4553.769,4426.233,4439.635,4440.385,4440.290,4308.293,4310.145,4311.159,4310.217,4309.705,4305.181,4295.427,4280.622,4267.558,4255.689,4238.389,4203.604,4190.669,,
Czechia,,,,,,,,,,,,,,,,,,,10331.000,10336.000,10331.000,10315.000,10303.642,10294.943,10282.784,10272.503,10224.192,10200.774,10201.651,10197.101,10211.216,10238.905,10298.828,10384.603,10443.936,10474.410,10496.088,10510.786,10510.719,10524.783,10542.942,10553.843,,
Estonia,,,,,,,,,,,,,,,,,1566.000,1544.000,1517.000,1499.000,1437.000,1416.000,1399.535,1386.156,1375.654,1369.515,1364.101,1358.644,1353.557,1362.550,1354.775,1346.810,1340.680,1337.090,1334.515,1331.475,1327.439,1322.696,1317.997,1314.545,1314.608,1315.944,,
Germany,,,,,,,,,,,,,,,,79500.000,79984.000,80570.000,81187.000,81422.000,81661.000,81896.000,82051.698,82028.947,82086.582,82187.614,82339.777,82482.309,82520.176,82501.274,82464.344,82365.810,82262.642,82119.776,81874.770,81757.471,80274.983,80425.823,80645.605,80982.500,81686.663,82175.684,,
Latvia,,,,,,,,,,,,,,,,,2662.000,2614.000,2563.000,2521.000,2485.000,2457.000,2432.851,2410.019,2390.482,2372.985,2355.011,2338.624,2325.342,2263.122,2238.799,2218.357,2200.325,2177.322,2141.669,2097.555,2059.709,2034.319,2012.647,1993.782,1977.527,1968.957,,
Lithuania,,,,,,,,,,,,,,,,,3742.000,3700.000,3683.000,3657.000,3629.000,3602.000,3575.137,3549.331,3524.238,3499.536,3481.292,3469.070,3454.205,3377.075,3322.528,3269.909,3231.294,3198.231,3162.916,3097.282,3028.115,2987.773,2957.689,2932.367,2904.910,2888.558,,
Moldova,,,,,,,,,,,,,,,,,4363.000,4348.000,4348.000,4348.000,4348.000,4327.000,3654.208,3652.741,3647.001,3639.592,3631.462,3623.062,3612.874,3603.940,3595.187,3585.209,3576.910,3570.108,3565.604,3562.045,3559.986,3559.520,3558.566,3557.328,3555.159,3553.100,,
Russian Federation,,,,,,,,,,,,,,,,,148245.000,148310.000,148146.000,148408.000,148376.000,148160.000,147915.361,147670.784,147214.776,146596.869,145976.482,145306.497,144648.618,144067.316,143518.814,143049.637,142805.114,142742.366,142785.349,142849.468,142960.908,143201.730,143507.000,143507.000,143507.000,143507.000,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,10448.000,10482.000,10516.000,10547.000,10577.000,10600.000,10617.000,10629.000,10634.000,10652.000,8114.000,8153.000,8147.000,8064.046,8035.810,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,5325.000,5347.000,5364.000,5374.000,5383.233,5390.866,5395.324,5400.679,5379.780,5378.809,5378.950,5372.280,5372.807,5373.054,5374.622,5379.233,5386.406,5391.428,5398.384,5407.579,5413.393,5418.649,5423.801,5431.000,,
Slovenia,,,,,,,,,,,,,,,,,,1996.000,1991.000,1989.000,1988.000,1991.000,1986.848,1982.603,1985.557,1990.272,1992.035,1995.718,1996.773,1997.004,2001.114,2008.516,2019.406,2022.629,2042.335,2049.261,2052.496,2056.262,2059.114,2061.623,2063.077,2064.188,,
Macedonia,,,,,,,,,,,,,,,,,,2056.000,2056.000,,1963.000,1975.000,1996.869,2007.523,2017.142,2024.000,2034.882,2031.153,2026.773,2032.544,2036.855,2040.228,2043.559,2046.898,2050.671,2055.004,2058.539,2061.044,2064.032,2067.471,2070.225,2072.490,,
Ukraine,,,,,,,,,,,,,,,,,51944.000,52057.000,52244.000,52114.000,51728.000,51058.000,50594.600,50370.800,49918.100,49429.800,48690.151,48230.283,47812.949,47451.626,47105.171,46787.785,46509.355,46258.189,46053.307,45870.741,45706.086,45593.342,45553.047,42988.026,42759.661,42590.879,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
